,X,idx,beta,pval,cilb,ciub,i2,tau2,symbol
88,ENSG00000082397.14,52585,-1.30397860744384,4.07048010410682e-10,-1.71281369388676,-0.895143521000926,98.0857908276312,0.911671036639665,EPB41L3
89,ENSG00000175161.12,29420,-3.62343118960281,4.43011233498916e-10,-4.76189199128511,-2.48497038792051,98.6165089864158,7.35464563810266,CADM2
90,ENSG00000109906.12,16418,-2.91147109801918,5.03139247629642e-10,-3.82917232528039,-1.99376987075797,98.6318668969273,4.75382733703425,ZBTB16
91,ENSG00000109339.17,45533,-1.42896719619081,8.00078858140351e-10,-1.88474658958211,-0.973187802799505,98.8220737992784,1.15921173300966,MAPK10
93,ENSG00000103479.13,39887,-0.482945797965039,1.16217489779688e-09,-0.638491849545603,-0.327399746384474,95.8825331816068,0.120646114871785,RBL2
94,ENSG00000131016.15,32518,-1.5776021801746,1.60715730368995e-09,-2.09010446059445,-1.06509989975475,97.1534592084721,1.41342102425213,AKAP12
95,ENSG00000116731.21,22300,-0.421380599847349,2.59524861125911e-09,-0.560061212849219,-0.282699986845479,96.2743836080112,0.10296831455653,PRDM2
96,ENSG00000144642.19,39743,-1.32049018356984,2.96074658525895e-09,-1.75665767788639,-0.884322689253296,98.6394140347988,1.06798927770313,RBMS3
97,ENSG00000146414.14,33410,-0.542034969232457,3.13612885699375e-09,-0.72135866445346,-0.362711274011454,91.9227149653108,0.150924248174961,SHPRH
99,ENSG00000198947.13,31671,-1.6545285325259,3.37441302537002e-09,-2.20301849399017,-1.10603857106163,98.9105390162944,1.62539892742102,DMD
100,ENSG00000014123.9,35168,-0.319310557660813,3.39883343616069e-09,-0.42518592725983,-0.213435188061796,93.142273672079,0.0543617280682724,UFL1
101,ENSG00000122025.13,5990,-1.33933524654242,3.44758124112689e-09,-1.78360152089443,-0.895068972190407,94.4275040893525,0.954820459977619,FLT3
102,ENSG00000164120.12,57468,-2.3039610971445,3.67772915036341e-09,-3.06958087449116,-1.53834131979783,98.3184812102189,3.28448057168629,HPGD
103,ENSG00000114742.12,23979,-0.287241801012151,4.17375177722725e-09,-0.383033642732965,-0.191449959291337,95.3670752062691,0.0472983353910122,WDR48
104,ENSG00000103175.9,53810,-1.32546093274327,4.51336326948002e-09,-1.76846442503897,-0.882457440447568,96.4950582183997,0.982085870575884,WFDC1
106,ENSG00000154655.13,6559,-0.96810661707934,4.97012266240298e-09,-1.29255927446482,-0.643653959693856,97.6835300386678,0.560307053847939,L3MBTL4
107,ENSG00000173641.16,9143,-2.66235380530899,5.9225496003921e-09,-3.55910243253236,-1.76560517808562,98.758049768583,4.42387442550928,HSPB7
108,ENSG00000130700.6,24119,-3.82237625356675,6.4169670182778e-09,-5.11282574370817,-2.53192676342534,98.3220215165885,9.1817772491313,GATA5
